                       w                      Re11                         w                      Im11
  1.7985617941801564E+01    1.5835896982407161E-02    1.7985617941801564E+01    7.3331405510120296E-02
  1.8142697574481055E+01    1.5578118659219514E-02    1.8142697574481055E+01    7.2757374867106012E-02
  1.8299777207160545E+01    1.5326467173014871E-02    1.8299777207160545E+01    7.2191774702838982E-02
  1.8456856839840036E+01    1.5080753549546921E-02    1.8456856839840036E+01    7.1634432903974671E-02
  1.8613936472519523E+01    1.4840795902071423E-02    1.8613936472519523E+01    7.1085181583183943E-02
  1.8771016105199013E+01    1.4606419121345925E-02    1.8771016105199013E+01    7.0543856969874974E-02
  1.8928095737878504E+01    1.4377454580979658E-02    1.8928095737878504E+01    7.0010299303113824E-02
  1.9085175370557995E+01    1.4153739857292565E-02    1.9085175370557995E+01    6.9484352726787130E-02
  1.9242255003237482E+01    1.3935118462892519E-02    1.9242255003237482E+01    6.8965865187039260E-02
  1.9399334635916972E+01    1.3721439593226536E-02    1.9399334635916972E+01    6.8454688332004007E-02
  1.9556414268596463E+01    1.3512557885405823E-02    1.9556414268596463E+01    6.7950677413842406E-02
  1.9713493901275953E+01    1.3308333188645365E-02    1.9713493901275953E+01    6.7453691193088361E-02
  1.9870573533955440E+01    1.3108630345697548E-02    1.9870573533955440E+01    6.6963591845297460E-02
  2.0027653166634931E+01    1.2913318984695270E-02    2.0027653166634931E+01    6.6480244869987146E-02
  2.0184732799314421E+01    1.2722273320853952E-02    2.0184732799314421E+01    6.6003519001851252E-02
  2.0341812431993912E+01    1.2535371967513562E-02    2.0341812431993912E+01    6.5533286124226348E-02
  2.0498892064673399E+01    1.2352497756031573E-02    2.0498892064673399E+01    6.5069421184783940E-02
  2.0655971697352889E+01    1.2173537564065789E-02    2.0655971697352889E+01    6.4611802113418479E-02
  2.0813051330032380E+01    1.1998382151812184E-02    2.0813051330032380E+01    6.4160309742298152E-02
  2.0970130962711870E+01    1.1826926005787488E-02    2.0970130962711870E+01    6.3714827728042905E-02
  2.1127210595391357E+01    1.1659067189769438E-02    2.1127210595391357E+01    6.3275242475992297E-02
  2.1284290228070848E+01    1.1494707202529353E-02    2.1284290228070848E+01    6.2841443066523409E-02
  2.1441369860750338E+01    1.1333750842012092E-02    2.1441369860750338E+01    6.2413321183378487E-02
  2.1598449493429829E+01    1.1176106075637595E-02    2.1598449493429829E+01    6.1990771043960086E-02
  2.1755529126109316E+01    1.1021683916416296E-02    2.1755529126109316E+01    6.1573689331551308E-02
  2.1912608758788807E+01    1.0870398304587624E-02    2.1912608758788807E+01    6.1161975129417609E-02
  2.2069688391468297E+01    1.0722165994506797E-02    2.2069688391468297E+01    6.0755529856746905E-02
  2.2226768024147788E+01    1.0576906446520047E-02    2.2226768024147788E+01    6.0354257206383807E-02
  2.2383847656827275E+01    1.0434541723582581E-02    2.2383847656827275E+01    5.9958063084314367E-02
  2.2540927289506765E+01    1.0294996392386830E-02    2.2540927289506765E+01    5.9566855550857556E-02
  2.2698006922186256E+01    1.0158197428781154E-02    2.2698006922186256E+01    5.9180544763520082E-02
  2.2855086554865746E+01    1.0024074127270754E-02    2.2855086554865746E+01    5.8799042921471187E-02
  2.3012166187545233E+01    9.8925580144038662E-03    2.3012166187545233E+01    5.8422264211595062E-02
  2.3169245820224724E+01    9.7635827658565533E-03    2.3169245820224724E+01    5.8050124756078431E-02
  2.3326325452904214E+01    9.6370841270394872E-03    2.3326325452904214E+01    5.7682542561492064E-02
  2.3483405085583705E+01    9.5129998370591766E-03    2.3483405085583705E+01    5.7319437469324774E-02
  2.3640484718263192E+01    9.3912695558750325E-03    2.3640484718263192E+01    5.6960731107930401E-02
  2.3797564350942682E+01    9.2718347945018251E-03    2.3797564350942682E+01    5.6606346845847519E-02
  2.3954643983622173E+01    9.1546388481149633E-03    2.3954643983622173E+01    5.6256209746453734E-02
  2.4111723616301663E+01    9.0396267319232549E-03    2.4111723616301663E+01    5.5910246523916476E-02
  2.4268803248981150E+01    8.9267451196809317E-03    2.4268803248981150E+01    5.5568385500402863E-02
  2.4425882881660641E+01    8.8159422847170817E-03    2.4425882881660641E+01    5.5230556564512909E-02
  2.4582962514340132E+01    8.7071680433670230E-03    2.4582962514340132E+01    5.4896691130900205E-02
  2.4740042147019622E+01    8.6003737006958153E-03    2.4740042147019622E+01    5.4566722101045628E-02
  2.4897121779699109E+01    8.4955119984097775E-03    2.4897121779699109E+01    5.4240583825150387E-02
  2.5054201412378600E+01    8.3925370648570263E-03    2.5054201412378600E+01    5.3918212065115378E-02
  2.5211281045058090E+01    8.2914043670230288E-03    2.5211281045058090E+01    5.3599543958574997E-02
  2.5368360677737581E+01    8.1920706644317953E-03    2.5368360677737581E+01    5.3284517983953915E-02
  2.5525440310417068E+01    8.0944939648678084E-03    2.5525440310417068E+01    5.2973073926516866E-02
  2.5682519943096558E+01    7.9986334818378975E-03    2.5682519943096558E+01    5.2665152845381341E-02
  2.5839599575776049E+01    7.9044495936963152E-03    2.5839599575776049E+01    5.2360697041465114E-02
  2.5996679208455539E+01    7.8119038043599183E-03    2.5996679208455539E+01    5.2059650026340082E-02
  2.6153758841135026E+01    7.7209587055439600E-03    2.6153758841135026E+01    5.1761956491965661E-02
  2.6310838473814517E+01    7.6315779404523675E-03    2.6310838473814517E+01    5.1467562281275164E-02
  2.6467918106494007E+01    7.5437261688595172E-03    2.6467918106494007E+01    5.1176414359589785E-02
  2.6624997739173498E+01    7.4573690335235573E-03    2.6624997739173498E+01    5.0888460786835080E-02
  2.6782077371852985E+01    7.3724731278742009E-03    2.6782077371852985E+01    5.0603650690535906E-02
  2.6939157004532476E+01    7.2890059649205717E-03    2.6939157004532476E+01    5.0321934239566671E-02
  2.7096236637211966E+01    7.2069359473273288E-03    2.7096236637211966E+01    5.0043262618633656E-02
  2.7253316269891457E+01    7.1262323386096392E-03    2.7253316269891457E+01    4.9767588003467922E-02
  2.7410395902570944E+01    7.0468652353999602E-03    2.7410395902570944E+01    4.9494863536707075E-02
  2.7567475535250434E+01    6.9688055407417316E-03    2.7567475535250434E+01    4.9225043304445340E-02
  2.7724555167929925E+01    6.8920249383672061E-03    2.7724555167929925E+01    4.8958082313431767E-02
  2.7881634800609415E+01    6.8164958679185414E-03    2.7881634800609415E+01    4.8693936468897220E-02
  2.8038714433288902E+01    6.7421915010732851E-03    2.8038714433288902E+01    4.8432562552991054E-02
  2.8195794065968393E+01    6.6690857185369859E-03    2.8195794065968393E+01    4.8173918203809486E-02
  2.8352873698647883E+01    6.5971530878675662E-03    2.8352873698647883E+01    4.7917961894997661E-02
  2.8509953331327374E+01    6.5263688420974970E-03    2.8509953331327374E+01    4.7664652915908393E-02
  2.8667032964006861E+01    6.4567088591214990E-03    2.8667032964006861E+01    4.7413951352300837E-02
  2.8824112596686351E+01    6.3881496418188421E-03    2.8824112596686351E+01    4.7165818067563064E-02
  2.8981192229365842E+01    6.3206682988807810E-03    2.8981192229365842E+01    4.6920214684442817E-02
  2.9138271862045332E+01    6.2542425263149119E-03    2.9138271862045332E+01    4.6677103567271380E-02
  2.9295351494724819E+01    6.1888505895995030E-03    2.9295351494724819E+01    4.6436447804665881E-02
  2.9452431127404310E+01    6.1244713064620782E-03    2.9452431127404310E+01    4.6198211192695682E-02
  2.9609510760083801E+01    6.0610840302576102E-03    2.9609510760083801E+01    4.5962358218499408E-02
  2.9766590392763291E+01    5.9986686339227975E-03    2.9766590392763291E+01    4.5728854044338983E-02
  2.9923670025442778E+01    5.9372054944838880E-03    2.9923670025442778E+01    4.5497664492077851E-02
  3.0080749658122269E+01    5.8766754780965377E-03    3.0080749658122269E+01    4.5268756028070921E-02
  3.0237829290801759E+01    5.8170599255970810E-03    3.0237829290801759E+01    4.5042095748454171E-02
  3.0394908923481250E+01    5.7583406385454837E-03    3.0394908923481250E+01    4.4817651364821923E-02
  3.0551988556160737E+01    5.7004998657411016E-03    3.0551988556160737E+01    4.4595391190280775E-02
  3.0709068188840227E+01    5.6435202901931993E-03    3.0709068188840227E+01    4.4375284125868865E-02
