                       w                      Re11                         w                      Im11
  6.2046454908398410E+00    1.0308370000000001E-02    6.2046454908398410E+00    5.0136550000000002E-02
  6.3617251235193315E+00    9.9988100000000003E-03    6.3617251235193315E+00    4.9158529999999999E-02
  6.5188047561988203E+00    9.7012200000000000E-03    6.5188047561988203E+00    4.8218600000000000E-02
  6.6758843888783108E+00    9.4150399999999995E-03    6.6758843888783108E+00    4.7314429999999998E-02
  6.8329640215577996E+00    9.1397300000000004E-03    6.8329640215577996E+00    4.6443840000000000E-02
  6.9900436542372901E+00    8.8748300000000002E-03    6.9900436542372901E+00    4.5604880000000000E-02
  7.1471232869167789E+00    8.6198500000000001E-03    7.1471232869167789E+00    4.4795729999999999E-02
  7.3042029195962694E+00    8.3743800000000007E-03    7.3042029195962694E+00    4.4014739999999997E-02
  7.4612825522757582E+00    8.1379899999999995E-03    7.4612825522757582E+00    4.3260350000000003E-02
  7.6183621849552488E+00    7.9103100000000003E-03    7.6183621849552488E+00    4.2531170000000000E-02
  7.7754418176347375E+00    7.6909500000000002E-03    7.7754418176347375E+00    4.1825880000000003E-02
  7.9325214503142281E+00    7.4795800000000004E-03    7.9325214503142281E+00    4.1143270000000003E-02
  8.0896010829937168E+00    7.2758500000000004E-03    8.0896010829937168E+00    4.0482209999999998E-02
  8.2466807156732074E+00    7.0794500000000002E-03    8.2466807156732074E+00    3.9841660000000001E-02
  8.4037603483526961E+00    6.8900599999999999E-03    8.4037603483526961E+00    3.9220640000000001E-02
  8.5608399810321867E+00    6.7074099999999996E-03    8.5608399810321867E+00    3.8618239999999998E-02
  8.7179196137116755E+00    6.5312100000000000E-03    8.7179196137116755E+00    3.8033619999999997E-02
  8.8749992463911660E+00    6.3611900000000001E-03    8.8749992463911660E+00    3.7465980000000003E-02
  9.0320788790706548E+00    6.1970999999999997E-03    9.0320788790706548E+00    3.6914580000000002E-02
  9.1891585117501453E+00    6.0387100000000001E-03    9.1891585117501453E+00    3.6378700000000000E-02
  9.3462381444296341E+00    5.8857600000000003E-03    9.3462381444296341E+00    3.5857710000000001E-02
  9.5033177771091246E+00    5.7380499999999997E-03    9.5033177771091246E+00    3.5350979999999997E-02
  9.6603974097886134E+00    5.5953699999999997E-03    9.6603974097886134E+00    3.4857920000000001E-02
  9.8174770424681039E+00    5.4574999999999997E-03    9.8174770424681039E+00    3.4377989999999997E-02
  9.9745566751475927E+00    5.3242500000000000E-03    9.9745566751475927E+00    3.3910660000000002E-02
  1.0131636307827083E+01    5.1954499999999999E-03    1.0131636307827083E+01    3.3455459999999999E-02
