                       w                      Re11                         w                      Im11
  7.8539816339744828E-02    4.1572438000000000E-01    7.8539816339744828E-02    2.5805990000000001E-02
  2.3561944901923448E-01    4.0780572999999998E-01    2.3561944901923448E-01    4.2184140000000002E-02
  3.9269908169872414E-01    4.0084779999999998E-01    3.9269908169872414E-01    6.1187079999999998E-02
  5.4977871437821380E-01    3.9240159000000002E-01    5.4977871437821380E-01    7.9601480000000002E-02
  7.0685834705770345E-01    3.8239223000000000E-01    7.0685834705770345E-01    9.6769309999999997E-02
  8.6393797973719311E-01    3.7110239000000000E-01    8.6393797973719311E-01    1.1231888000000000E-01
  1.0210176124166828E+00    3.5889706999999998E-01    1.0210176124166828E+00    1.2616032999999999E-01
  1.1780972450961724E+00    3.4610030000000003E-01    1.1780972450961724E+00    1.3823274999999999E-01
  1.3351768777756621E+00    3.3299837999999998E-01    1.3351768777756621E+00    1.4872349000000001E-01
  1.4922565104551517E+00    3.1988962999999998E-01    1.4922565104551517E+00    1.5698760000000000E-01
  1.6493361431346414E+00    3.0670904999999998E-01    1.6493361431346414E+00    1.6629278000000000E-01
  1.8064157758141310E+00    2.9375295000000001E-01    1.8064157758141310E+00    1.6969680000000001E-01
  1.9634954084936207E+00    2.8187718000000000E-01    1.9634954084936207E+00    1.7537446000000001E-01
  2.1205750411731104E+00    2.6978471999999998E-01    2.1205750411731104E+00    1.8075498000000001E-01
  2.2776546738526000E+00    2.5775146999999998E-01    2.2776546738526000E+00    1.8420054000000000E-01
  2.4347343065320897E+00    2.4635760000000001E-01    2.4347343065320897E+00    1.8604893000000000E-01
  2.5918139392115793E+00    2.3575418000000001E-01    2.5918139392115793E+00    1.8708104000000000E-01
  2.7488935718910690E+00    2.2582844999999999E-01    2.7488935718910690E+00    1.8776464000000001E-01
  2.9059732045705586E+00    2.1643133000000001E-01    2.9059732045705586E+00    1.8825496999999999E-01
  3.0630528372500483E+00    2.0745847000000001E-01    3.0630528372500483E+00    1.8855559999999999E-01
  3.2201324699295379E+00    1.9885517000000000E-01    3.2201324699295379E+00    1.8862693000000000E-01
  3.3772121026090276E+00    1.9060089000000000E-01    3.3772121026090276E+00    1.8843466000000000E-01
  3.5342917352885173E+00    1.8269320999999999E-01    3.5342917352885173E+00    1.8796483999999999E-01
  3.6913713679680069E+00    1.7513608000000000E-01    3.6913713679680069E+00    1.8722368000000000E-01
  3.8484510006474966E+00    1.6793287000000001E-01    3.8484510006474966E+00    1.8623223000000000E-01
  4.0055306333269858E+00    1.6108293000000001E-01    4.0055306333269858E+00    1.8502015999999999E-01
  4.1626102660064763E+00    1.5458071000000001E-01    4.1626102660064763E+00    1.8362063000000001E-01
  4.3196898986859651E+00    1.4841615000000000E-01    4.3196898986859651E+00    1.8206655999999999E-01
  4.4767695313654556E+00    1.4257571999999999E-01    4.4767695313654556E+00    1.8038851000000000E-01
  4.6338491640449444E+00    1.3704367000000001E-01    4.6338491640449444E+00    1.7861345000000001E-01
  4.7909287967244349E+00    1.3180301000000000E-01    4.7909287967244349E+00    1.7676451000000001E-01
  4.9480084294039237E+00    1.2683641000000001E-01    4.9480084294039237E+00    1.7486104999999999E-01
  5.1050880620834143E+00    1.2212678000000000E-01    5.1050880620834143E+00    1.7291901000000001E-01
  5.2621676947629030E+00    1.1765771999999999E-01    5.2621676947629030E+00    1.7095141000000000E-01
  5.4192473274423936E+00    1.1341369000000000E-01    5.4192473274423936E+00    1.6896876999999999E-01
  5.5763269601218823E+00    1.0938017000000000E-01    5.5763269601218823E+00    1.6697962000000000E-01
  5.7334065928013729E+00    1.0554365000000000E-01    5.7334065928013729E+00    1.6499077000000001E-01
  5.8904862254808616E+00    1.0189168000000000E-01    5.8904862254808616E+00    1.6300776000000000E-01
  6.0475658581603522E+00    9.8412769999999997E-02    6.0475658581603522E+00    1.6103506000000001E-01
  6.2046454908398410E+00    9.5096310000000003E-02    6.2046454908398410E+00    1.5907621999999999E-01
  6.3617251235193315E+00    9.1932539999999993E-02    6.3617251235193315E+00    1.5713415999999999E-01
  6.5188047561988203E+00    8.8912439999999995E-02    6.5188047561988203E+00    1.5521123000000001E-01
  6.6758843888783108E+00    8.6027690000000004E-02    6.6758843888783108E+00    1.5330930000000001E-01
  6.8329640215577996E+00    8.3270609999999995E-02    6.8329640215577996E+00    1.5142992999999999E-01
  6.9900436542372901E+00    8.0634029999999995E-02    6.9900436542372901E+00    1.4957430999999999E-01
  7.1471232869167789E+00    7.8111330000000007E-02    7.1471232869167789E+00    1.4774341999999999E-01
  7.3042029195962694E+00    7.5696360000000004E-02    7.3042029195962694E+00    1.4593803000000000E-01
  7.4612825522757582E+00    7.3383350000000000E-02    7.4612825522757582E+00    1.4415871999999999E-01
  7.6183621849552488E+00    7.1166930000000003E-02    7.6183621849552488E+00    1.4240591999999999E-01
  7.7754418176347375E+00    6.9042090000000000E-02    7.7754418176347375E+00    1.4067995999999999E-01
  7.9325214503142281E+00    6.7004140000000004E-02    7.9325214503142281E+00    1.3898103000000001E-01
  8.0896010829937168E+00    6.5048659999999994E-02    8.0896010829937168E+00    1.3730923000000000E-01
  8.2466807156732074E+00    6.3171519999999995E-02    8.2466807156732074E+00    1.3566460999999999E-01
  8.4037603483526961E+00    6.1368840000000001E-02    8.4037603483526961E+00    1.3404711000000000E-01
  8.5608399810321867E+00    5.9636979999999999E-02    8.5608399810321867E+00    1.3245665000000001E-01
  8.7179196137116755E+00    5.7972469999999998E-02    8.7179196137116755E+00    1.3089308999999999E-01
  8.8749992463911660E+00    5.6372079999999998E-02    8.8749992463911660E+00    1.2935620000000000E-01
  9.0320788790706548E+00    5.4832770000000003E-02    9.0320788790706548E+00    1.2784577000000000E-01
  9.1891585117501453E+00    5.3351639999999999E-02    9.1891585117501453E+00    1.2636153999999999E-01
  9.3462381444296341E+00    5.1925970000000002E-02    9.3462381444296341E+00    1.2490319000000000E-01
  9.5033177771091246E+00    5.0553180000000003E-02    9.5033177771091246E+00    1.2347043000000001E-01
  9.6603974097886134E+00    4.9230860000000001E-02    9.6603974097886134E+00    1.2206291000000000E-01
  9.8174770424681039E+00    4.7956680000000002E-02    9.8174770424681039E+00    1.2068026000000000E-01
  9.9745566751475927E+00    4.6728480000000003E-02    9.9745566751475927E+00    1.1932212000000000E-01
  1.0131636307827083E+01    4.5544200000000000E-02    1.0131636307827083E+01    1.1798810999999999E-01
  1.0288715940506572E+01    4.4401860000000001E-02    1.0288715940506572E+01    1.1667784000000000E-01
  1.0445795573186063E+01    4.3299640000000000E-02    1.0445795573186063E+01    1.1539090000000000E-01
  1.0602875205865551E+01    4.2235780000000001E-02    1.0602875205865551E+01    1.1412691000000000E-01
  1.0759954838545042E+01    4.1208590000000003E-02    1.0759954838545042E+01    1.1288542999999999E-01
  1.0917034471224531E+01    4.0216509999999997E-02    1.0917034471224531E+01    1.1166607000000001E-01
  1.1074114103904021E+01    3.9258029999999999E-02    1.1074114103904021E+01    1.1046841000000000E-01
  1.1231193736583510E+01    3.8331730000000001E-02    1.1231193736583510E+01    1.0929203999999999E-01
  1.1388273369263000E+01    3.7436259999999999E-02    1.1388273369263000E+01    1.0813657000000000E-01
  1.1545353001942489E+01    3.6570329999999998E-02    1.1545353001942489E+01    1.0700155000000000E-01
  1.1702432634621980E+01    3.5732710000000001E-02    1.1702432634621980E+01    1.0588662000000000E-01
  1.1859512267301469E+01    3.4922229999999999E-02    1.1859512267301469E+01    1.0479134000000000E-01
  1.2016591899980959E+01    3.4137800000000003E-02    1.2016591899980959E+01    1.0371532999999999E-01
  1.2173671532660448E+01    3.3378360000000003E-02    1.2173671532660448E+01    1.0265819000000000E-01
  1.2330751165339938E+01    3.2642900000000002E-02    1.2330751165339938E+01    1.0161955000000000E-01
  1.2487830798019427E+01    3.1930470000000002E-02    1.2487830798019427E+01    1.0059899999999999E-01
  1.2644910430698918E+01    3.1240140000000000E-02    1.2644910430698918E+01    9.9596180000000006E-02
  1.2801990063378407E+01    3.0571069999999999E-02    1.2801990063378407E+01    9.8610710000000004E-02
  1.2959069696057897E+01    2.9922420000000002E-02    1.2959069696057897E+01    9.7642229999999997E-02
  1.3116149328737386E+01    2.9293409999999999E-02    1.3116149328737386E+01    9.6690369999999998E-02
  1.3273228961416876E+01    2.8683270000000000E-02    1.3273228961416876E+01    9.5754800000000001E-02
  1.3430308594096365E+01    2.8091290000000001E-02    1.3430308594096365E+01    9.4835139999999998E-02
  1.3587388226775856E+01    2.7516780000000001E-02    1.3587388226775856E+01    9.3931089999999995E-02
  1.3744467859455344E+01    2.6959090000000002E-02    1.3744467859455344E+01    9.3042290000000000E-02
  1.3901547492134835E+01    2.6417580000000000E-02    1.3901547492134835E+01    9.2168410000000006E-02
  1.4058627124814324E+01    2.5891669999999999E-02    1.4058627124814324E+01    9.1309150000000006E-02
  1.4215706757493814E+01    2.5380770000000000E-02    1.4215706757493814E+01    9.0464190000000000E-02
  1.4372786390173303E+01    2.4884350000000000E-02    1.4372786390173303E+01    8.9633210000000005E-02
  1.4529866022852794E+01    2.4401869999999999E-02    1.4529866022852794E+01    8.8815930000000001E-02
  1.4686945655532282E+01    2.3932849999999999E-02    1.4686945655532282E+01    8.8012049999999994E-02
  1.4844025288211773E+01    2.3476790000000001E-02    1.4844025288211773E+01    8.7221279999999998E-02
  1.5001104920891262E+01    2.3033250000000002E-02    1.5001104920891262E+01    8.6443339999999994E-02
  1.5158184553570752E+01    2.2601770000000000E-02    1.5158184553570752E+01    8.5677970000000006E-02
  1.5315264186250241E+01    2.2181949999999999E-02    1.5315264186250241E+01    8.4924870000000000E-02
  1.5472343818929732E+01    2.1773379999999998E-02    1.5472343818929732E+01    8.4183820000000006E-02
  1.5629423451609220E+01    2.1375660000000001E-02    1.5629423451609220E+01    8.3454539999999994E-02
  1.5786503084288711E+01    2.0988440000000001E-02    1.5786503084288711E+01    8.2736790000000004E-02
  1.5943582716968200E+01    2.0611350000000001E-02    1.5943582716968200E+01    8.2030309999999995E-02
  1.6100662349647688E+01    2.0244060000000001E-02    1.6100662349647688E+01    8.1334879999999998E-02
  1.6257741982327179E+01    1.9886230000000001E-02    1.6257741982327179E+01    8.0650269999999996E-02
  1.6414821615006669E+01    1.9537570000000001E-02    1.6414821615006669E+01    7.9976240000000004E-02
  1.6571901247686160E+01    1.9197750000000000E-02    1.6571901247686160E+01    7.9312569999999999E-02
  1.6728980880365647E+01    1.8866500000000001E-02    1.6728980880365647E+01    7.8659060000000003E-02
