                       w                      Re11                         w                      Im11
  3.5342917352885173E+00   -5.6469510709512359E-02    3.5342917352885173E+00   -3.6146728217653482E-02
  3.6913713679680069E+00   -5.5040654422950690E-02    3.6913713679680069E+00   -3.6732822100028185E-02
  3.8484510006474966E+00   -5.3630262296853116E-02    3.8484510006474966E+00   -3.7251965311023788E-02
  4.0055306333269858E+00   -5.2240863996285712E-02    4.0055306333269858E+00   -3.7707897268103377E-02
  4.1626102660064763E+00   -5.0874623701789738E-02    4.1626102660064763E+00   -3.8104297248491105E-02
  4.3196898986859651E+00   -4.9533369055609781E-02    4.3196898986859651E+00   -3.8444764859505993E-02
  4.4767695313654556E+00   -4.8218619109452396E-02    4.4767695313654556E+00   -3.8732803776680536E-02
  4.6338491640449444E+00   -4.6931611219017504E-02    4.6338491640449444E+00   -3.8971808472741440E-02
  4.7909287967244349E+00   -4.5673326813426195E-02    4.7909287967244349E+00   -3.9165053678153018E-02
  4.9480084294039237E+00   -4.4444515963448693E-02    4.9480084294039237E+00   -3.9315686321912499E-02
  5.1050880620834143E+00   -4.3245720678199998E-02    5.1050880620834143E+00   -3.9426719705640670E-02
  5.2621676947629030E+00   -4.2077296872628706E-02    5.2621676947629030E+00   -3.9501029668321856E-02
  5.4192473274423936E+00   -4.0939434964875891E-02    5.4192473274423936E+00   -3.9541352505201459E-02
  5.5763269601218823E+00   -3.9832179081136530E-02    5.5763269601218823E+00   -3.9550284413093516E-02
  5.7334065928013729E+00   -3.8755444864275561E-02    5.7334065928013729E+00   -3.9530282245720479E-02
  5.8904862254808616E+00   -3.7709035899918857E-02    5.8904862254808616E+00   -3.9483665376334208E-02
  6.0475658581603522E+00   -3.6692658789276696E-02    6.0475658581603522E+00   -3.9412618480193451E-02
  6.2046454908398410E+00   -3.5705936911142155E-02    6.2046454908398410E+00   -3.9319195065883494E-02
  6.3617251235193315E+00   -3.4748422926177573E-02    6.3617251235193315E+00   -3.9205321601374535E-02
  6.5188047561988203E+00   -3.3819610084790876E-02    6.5188047561988203E+00   -3.9072802097613782E-02
  6.6758843888783108E+00   -3.2918942405764311E-02    6.6758843888783108E+00   -3.8923323028914811E-02
  6.8329640215577996E+00   -3.2045823796564628E-02    6.8329640215577996E+00   -3.8758458485124450E-02
  6.9900436542372901E+00   -3.1199626188205428E-02    6.9900436542372901E+00   -3.8579675465282758E-02
  7.1471232869167789E+00   -3.0379696757934980E-02    7.1471232869167789E+00   -3.8388339236095623E-02
  7.3042029195962694E+00   -2.9585364312160446E-02    7.3042029195962694E+00   -3.8185718690929918E-02
  7.4612825522757582E+00   -2.8815944900153913E-02    7.4612825522757582E+00   -3.7972991656189774E-02
  7.6183621849552488E+00   -2.8070746726447677E-02    7.6183621849552488E+00   -3.7751250101853207E-02
  7.7754418176347375E+00   -2.7349074426623758E-02    7.7754418176347375E+00   -3.7521505221685493E-02
  7.9325214503142281E+00   -2.6650232767608757E-02    7.9325214503142281E+00   -3.7284692356265192E-02
  8.0896010829937168E+00   -2.5973529829750285E-02    8.0896010829937168E+00   -3.7041675738541002E-02
  8.2466807156732074E+00   -2.5318279723993711E-02    8.2466807156732074E+00   -3.6793253047269936E-02
  8.4037603483526961E+00   -2.4683804893497859E-02    8.4037603483526961E+00   -3.6540159758461158E-02
  8.5608399810321867E+00   -2.4069438045099652E-02    8.5608399810321867E+00   -3.6283073288954852E-02
  8.7179196137116755E+00   -2.3474523752220623E-02    8.7179196137116755E+00   -3.6022616929590627E-02
  8.8749992463911660E+00   -2.2898419767144487E-02    8.8749992463911660E+00   -3.5759363568146234E-02
  9.0320788790706548E+00   -2.2340498077115599E-02    9.0320788790706548E+00   -3.5493839204433990E-02
  9.1891585117501453E+00   -2.1800145735431604E-02    9.1891585117501453E+00   -3.5226526261697734E-02
  9.3462381444296341E+00   -2.1276765495643151E-02    9.3462381444296341E+00   -3.4957866699823828E-02
  9.5033177771091246E+00   -2.0769776274130746E-02    9.5033177771091246E+00   -3.4688264936920614E-02
  9.6603974097886134E+00   -2.0278613463706484E-02    9.6603974097886134E+00   -3.4418090586585223E-02
  9.8174770424681039E+00   -1.9802729118478232E-02    9.8174770424681039E+00   -3.4147681018707590E-02
  9.9745566751475927E+00   -1.9341592028011650E-02    9.9745566751475927E+00   -3.3877343752000320E-02
  1.0131636307827083E+01   -1.8894687696818763E-02    1.0131636307827083E+01   -3.3607358686621736E-02
  1.0288715940506572E+01   -1.8461518243381946E-02    1.0288715940506572E+01   -3.3337980185309750E-02
  1.0445795573186063E+01   -1.8041602231275673E-02    1.0445795573186063E+01   -3.3069439011389215E-02
  1.0602875205865551E+01   -1.7634474443464252E-02    1.0602875205865551E+01   -3.2801944131878931E-02
  1.0759954838545042E+01   -1.7239685609519193E-02    1.0759954838545042E+01   -3.2535684393722612E-02
  1.0917034471224531E+01   -1.6856802094302785E-02    1.0917034471224531E+01   -3.2270830080918203E-02
  1.1074114103904021E+01   -1.6485405555593951E-02    1.1074114103904021E+01   -3.2007534360033403E-02
  1.1231193736583510E+01   -1.6125092577176505E-02    1.1231193736583510E+01   -3.1745934621283563E-02
  1.1388273369263000E+01   -1.5775474283058647E-02    1.1388273369263000E+01   -3.1486153722020016E-02
  1.1545353001942489E+01   -1.5436175937736085E-02    1.1545353001942489E+01   -3.1228301139139231E-02
  1.1702432634621980E+01   -1.5106836536739844E-02    1.1702432634621980E+01   -3.0972474036582206E-02
  1.1859512267301469E+01   -1.4787108391115881E-02    1.1859512267301469E+01   -3.0718758253753656E-02
  1.2016591899980959E+01   -1.4476656708958561E-02    1.2016591899980959E+01   -3.0467229220355618E-02
  1.2173671532660448E+01   -1.4175159176657339E-02    1.2173671532660448E+01   -3.0217952802802872E-02
  1.2330751165339938E+01   -1.3882305542108359E-02    1.2330751165339938E+01   -2.9970986087070172E-02
  1.2487830798019427E+01   -1.3597797201785255E-02    1.2487830798019427E+01   -2.9726378102515674E-02
  1.2644910430698918E+01   -1.3321346793249384E-02    1.2644910430698918E+01   -2.9484170490931584E-02
  1.2801990063378407E+01   -1.3052677794405854E-02    1.2801990063378407E+01   -2.9244398124793448E-02
  1.2959069696057897E+01   -1.2791524130572001E-02    1.2959069696057897E+01   -2.9007089678413384E-02
  1.3116149328737386E+01   -1.2537629790216874E-02    1.3116149328737386E+01   -2.8772268155450753E-02
  1.3273228961416876E+01   -1.2290748450049091E-02    1.3273228961416876E+01   -2.8539951375995413E-02
  1.3430308594096365E+01   -1.2050643109974061E-02    1.3430308594096365E+01   -2.8310152426214770E-02
  1.3587388226775856E+01   -1.1817085738306045E-02    1.3587388226775856E+01   -2.8082880073344613E-02
  1.3744467859455344E+01   -1.1589856927504453E-02    1.3744467859455344E+01   -2.7858139148606173E-02
  1.3901547492134835E+01   -1.1368745560603886E-02    1.3901547492134835E+01   -2.7635930900446370E-02
  1.4058627124814324E+01   -1.1153548488422496E-02    1.4058627124814324E+01   -2.7416253320325049E-02
  1.4215706757493814E+01   -1.0944070217560930E-02    1.4215706757493814E+01   -2.7199101443111315E-02
  1.4372786390173303E+01   -1.0740122609143189E-02    1.4372786390173303E+01   -2.6984467624000044E-02
  1.4529866022852794E+01   -1.0541524588199578E-02    1.4529866022852794E+01   -2.6772341793719300E-02
  1.4686945655532282E+01   -1.0348101863549345E-02    1.4686945655532282E+01   -2.6562711693668545E-02
  1.4844025288211773E+01   -1.0159686658005648E-02    1.4844025288211773E+01   -2.6355563092505942E-02
  1.5001104920891262E+01   -9.9761174486968484E-03    1.5001104920891262E+01   -2.6150879985590125E-02
  1.5158184553570752E+01   -9.7972387172753049E-03    1.5158184553570752E+01   -2.5948644778576939E-02
  1.5315264186250241E+01   -9.6229007097668722E-03    1.5315264186250241E+01   -2.5748838456374382E-02
  1.5472343818929732E+01   -9.4529592058004482E-03    1.5472343818929732E+01   -2.5551440738568767E-02
  1.5629423451609220E+01   -9.2872752969469959E-03    1.5629423451609220E+01   -2.5356430222351494E-02
  1.5786503084288711E+01   -9.1257151738902073E-03    1.5786503084288711E+01   -2.5163784513898432E-02
  1.5943582716968200E+01   -8.9681499221468969E-03    1.5943582716968200E+01   -2.4973480349082148E-02
  1.6100662349647688E+01   -8.8144553260529630E-03    1.6100662349647688E+01   -2.4785493704330804E-02
  1.6257741982327179E+01   -8.6645116807307875E-03    1.6257741982327179E+01   -2.4599799898386225E-02
  1.6414821615006669E+01   -8.5182036117552821E-03    1.6414821615006669E+01   -2.4416373685656623E-02
  1.6571901247686160E+01   -8.3754199022387232E-03    1.6571901247686160E+01   -2.4235189341807042E-02
  1.6728980880365647E+01   -8.2360533270584863E-03    1.6728980880365647E+01   -2.4056220742181861E-02
  1.6886060513045138E+01   -8.1000004939565905E-03    1.6886060513045138E+01   -2.3879441433608813E-02
  1.7043140145724628E+01   -7.9671616912457190E-03    1.7043140145724628E+01   -2.3704824700092327E-02
  1.7200219778404119E+01   -7.8374407418624979E-03    1.7200219778404119E+01   -2.3532343622865663E-02
  1.7357299411083606E+01   -7.7107448635155553E-03    1.7357299411083606E+01   -2.3361971135235710E-02
  1.7514379043763096E+01   -7.5869845346829669E-03    1.7514379043763096E+01   -2.3193680072621542E-02
  1.7671458676442587E+01   -7.4660733662209591E-03    1.7671458676442587E+01   -2.3027443218157549E-02
  1.7828538309122077E+01   -7.3479279783531665E-03    1.7828538309122077E+01   -2.2863233344203725E-02
  1.7985617941801564E+01   -7.2324678828174470E-03    1.7985617941801564E+01   -2.2701023250080023E-02
  1.8142697574481055E+01   -7.1196153699547501E-03    1.8142697574481055E+01   -2.2540785796317533E-02
  1.8299777207160545E+01   -7.0092954005322545E-03    1.8299777207160545E+01   -2.2382493935697315E-02
  1.8456856839840036E+01   -6.9014355021004645E-03    1.8456856839840036E+01   -2.2226120741327030E-02
  1.8613936472519523E+01   -6.7959656696915142E-03    1.8613936472519523E+01   -2.2071639431986836E-02
  1.8771016105199013E+01   -6.6928182706732110E-03    1.8771016105199013E+01   -2.1919023394958354E-02
  1.8928095737878504E+01   -6.5919279535806936E-03    1.8928095737878504E+01   -2.1768246206534562E-02
  1.9085175370557995E+01   -6.4932315607544771E-03    1.9085175370557995E+01   -2.1619281650393320E-02
