                       w                      Re11                         w                      Im11
  7.8539816339744828E-02    1.5470692028284905E-01    7.8539816339744828E-02    3.9089703054802705E-01
  2.3561944901923448E-01    4.2382617692558480E-02    2.3561944901923448E-01    3.5648750819735159E-01
  3.9269908169872414E-01    2.5606725661887438E-02    3.9269908169872414E-01    3.0704578685162182E-01
  5.4977871437821380E-01    3.0009217953507618E-02    5.4977871437821380E-01    2.5970352148285047E-01
  7.0685834705770345E-01    3.4904254824785527E-02    7.0685834705770345E-01    2.2331614615721040E-01
  8.6393797973719311E-01    3.7640994895321481E-02    8.6393797973719311E-01    1.9619646855501460E-01
  1.0210176124166828E+00    3.8560811584885030E-02    1.0210176124166828E+00    1.7569833408256652E-01
  1.1780972450961724E+00    3.8255097994459628E-02    1.1780972450961724E+00    1.5979238544917379E-01
  1.3351768777756621E+00    3.7178097744768157E-02    1.3351768777756621E+00    1.4709258208164133E-01
  1.4922565104551517E+00    3.5641421127769253E-02    1.4922565104551517E+00    1.3667405682589126E-01
  1.6493361431346414E+00    3.3853529811675720E-02    1.6493361431346414E+00    1.2791767660826220E-01
  1.8064157758141310E+00    3.1952654534640725E-02    1.8064157758141310E+00    1.2040373940490043E-01
  1.9634954084936207E+00    3.0029450806097327E-02    1.9634954084936207E+00    1.1384299129099665E-01
  2.1205750411731104E+00    2.8142175876382011E-02    2.1205750411731104E+00    1.0803230488869034E-01
  2.2776546738526000E+00    2.6326946393559002E-02    2.2776546738526000E+00    1.0282610064409339E-01
  2.4347343065320897E+00    2.4604770027854033E-02    2.4347343065320897E+00    9.8117769709212335E-02
  2.5918139392115793E+00    2.2986417047513089E-02    2.5918139392115793E+00    9.3827481789819048E-02
  2.7488935718910690E+00    2.1475813481075492E-02    2.7488935718910690E+00    8.9894100914049355E-02
  2.9059732045705586E+00    2.0072405891432499E-02    2.9059732045705586E+00    8.6269766603443154E-02
  3.0630528372500483E+00    1.8772803909420967E-02    3.0630528372500483E+00    8.2916219362838078E-02
  3.2201324699295379E+00    1.7571913383994772E-02    3.2201324699295379E+00    7.9802277651653569E-02
  3.3772121026090276E+00    1.6463710132064803E-02    3.3772121026090276E+00    7.6902081833086611E-02
  3.5342917352885173E+00    1.5441760690234561E-02    3.5342917352885173E+00    7.4193853856156872E-02
  3.6913713679680069E+00    1.4499565733148754E-02    3.6913713679680069E+00    7.1659007275374415E-02
  3.8484510006474966E+00    1.3630779944075732E-02    3.8484510006474966E+00    6.9281497893044511E-02
  4.0055306333269858E+00    1.2829346490719810E-02    4.0055306333269858E+00    6.7047341657941087E-02
  4.1626102660064763E+00    1.2089573083515440E-02    4.1626102660064763E+00    6.4944250338116780E-02
  4.3196898986859651E+00    1.1406168613945925E-02    4.3196898986859651E+00    6.2961351284911288E-02
  4.4767695313654556E+00    1.0774253685112801E-02    4.4767695313654556E+00    6.1088968130130400E-02
  4.6338491640449444E+00    1.0189354306980519E-02    4.6338491640449444E+00    5.9318446322110675E-02
  4.7909287967244349E+00    9.6473851667878332E-03    4.7909287967244349E+00    5.7642012185064859E-02
  4.9480084294039237E+00    9.1446268643789342E-03    4.9480084294039237E+00    5.6052657446629323E-02
  5.1050880620834143E+00    8.6777000807969143E-03    5.1050880620834143E+00    5.4544043423688807E-02
  5.2621676947629030E+00    8.2435386530714996E-03    5.2621676947629030E+00    5.3110420617806103E-02
  5.4192473274423936E+00    7.8393628348006512E-03    5.4192473274423936E+00    5.1746560568726535E-02
  5.5763269601218823E+00    7.4626535424702385E-03    5.5763269601218823E+00    5.0447697594098465E-02
  5.7334065928013729E+00    7.1111280585319210E-03    5.7334065928013729E+00    4.9209478604201613E-02
  5.8904862254808616E+00    6.7827174393284588E-03    5.8904862254808616E+00    4.8027919588656466E-02
  6.0475658581603522E+00    6.4755457272698642E-03    6.0475658581603522E+00    4.6899367673102710E-02
  6.2046454908398410E+00    6.1879109697346134E-03    6.2046454908398410E+00    4.5820467868757361E-02
  6.3617251235193315E+00    5.9182679860939995E-03    6.3617251235193315E+00    4.4788133808073102E-02
  6.5188047561988203E+00    5.6652127878156497E-03    6.5188047561988203E+00    4.3799521890393503E-02
  6.6758843888783108E+00    5.4274685368983248E-03    6.6758843888783108E+00    4.2852008363072361E-02
