                       w                      Re11                         w                      Im11
  3.3772121026090276E+00    8.7679077700025157E-02    3.3772121026090276E+00   -2.2715896846540917E-01
  3.5342917352885173E+00    8.1366815387037772E-02    3.5342917352885173E+00   -2.2026552665130542E-01
  3.6913713679680069E+00    7.5676217395179449E-02    3.6913713679680069E+00   -2.1366324204181183E-01
  3.8484510006474966E+00    7.0532796753934687E-02    3.8484510006474966E+00   -2.0734944096062499E-01
  4.0055306333269858E+00    6.5872193959511410E-02    4.0055306333269858E+00   -2.0131773603719419E-01
  4.1626102660064763E+00    6.1638699141284378E-02    4.1626102660064763E+00   -1.9555927175364951E-01
  4.3196898986859651E+00    5.7783990975737269E-02    4.3196898986859651E+00   -1.9006362950444175E-01
  4.4767695313654556E+00    5.4266064394306604E-02    4.4767695313654556E+00   -1.8481948204616716E-01
  4.6338491640449444E+00    5.1048320628134226E-02    4.6338491640449444E+00   -1.7981506339814901E-01
  4.7909287967244349E+00    4.8098795666267714E-02    4.7909287967244349E+00   -1.7503850283189495E-01
  4.9480084294039237E+00    4.5389506084318285E-02    4.9480084294039237E+00   -1.7047805882348799E-01
  5.1050880620834143E+00    4.2895894058726049E-02    5.1050880620834143E+00   -1.6612227947350372E-01
  5.2621676947629030E+00    4.0596356033887393E-02    5.2621676947629030E+00   -1.6196010900629046E-01
  5.4192473274423936E+00    3.8471841877308802E-02    5.4192473274423936E+00   -1.5798095487801472E-01
  5.5763269601218823E+00    3.6505513421892323E-02    5.5763269601218823E+00   -1.5417472626665810E-01
  5.7334065928013729E+00    3.4682453065361649E-02    5.7334065928013729E+00   -1.5053185193487828E-01
  5.8904862254808616E+00    3.2989414600367743E-02    5.8904862254808616E+00   -1.4704328339150563E-01
  6.0475658581603522E+00    3.1414609716261623E-02    6.0475658581603522E+00   -1.4370048774170252E-01
  6.2046454908398410E+00    2.9947524676877266E-02    6.2046454908398410E+00   -1.4049543347193130E-01
  6.3617251235193315E+00    2.8578762568035928E-02    6.3617251235193315E+00   -1.3742057156276027E-01
  6.5188047561988203E+00    2.7299907250949110E-02    6.5188047561988203E+00   -1.3446881368571720E-01
  6.6758843888783108E+00    2.6103405776932598E-02    6.6758843888783108E+00   -1.3163350876482044E-01
  6.8329640215577996E+00    2.4982466535169671E-02    6.8329640215577996E+00   -1.2890841882830337E-01
  6.9900436542372901E+00    2.3930970835890981E-02    6.9900436542372901E+00   -1.2628769481107871E-01
  7.1471232869167789E+00    2.2943395990740172E-02    7.1471232869167789E+00   -1.2376585277110017E-01
  7.3042029195962694E+00    2.2014748252341804E-02    7.3042029195962694E+00   -1.2133775083609559E-01
  7.4612825522757582E+00    2.1140504226230771E-02    7.4612825522757582E+00   -1.1899856708855880E-01
  7.6183621849552488E+00    2.0316559578666234E-02    7.6183621849552488E+00   -1.1674377851691826E-01
  7.7754418176347375E+00    1.9539184040339566E-02    7.7754418176347375E+00   -1.1456914110234349E-01
  7.9325214503142281E+00    1.8804981854295865E-02    7.9325214503142281E+00   -1.1247067106833819E-01
  8.0896010829937168E+00    1.8110856941244837E-02    8.0896010829937168E+00   -1.1044462729007422E-01
  8.2466807156732074E+00    1.7453982160736698E-02    8.2466807156732074E+00   -1.0848749483928372E-01
  8.4037603483526961E+00    1.6831772135655433E-02    8.4037603483526961E+00   -1.0659596962615567E-01
  8.5608399810321867E+00    1.6241859182805900E-02    8.5608399810321867E+00   -1.0476694409032894E-01
  8.7179196137116755E+00    1.5682071956263203E-02    8.7179196137116755E+00   -1.0299749388743024E-01
  8.8749992463911660E+00    1.5150416464450036E-02    8.8749992463911660E+00   -1.0128486551467084E-01
  9.0320788790706548E+00    1.4645059168142566E-02    9.0320788790706548E+00   -9.9626464818050056E-02
  9.1891585117501453E+00    1.4164311906049465E-02    9.1891585117501453E+00   -9.8019846324143983E-02
  9.3462381444296341E+00    1.3706618428325287E-02    9.3462381444296341E+00   -9.6462703340868677E-02
  9.5033177771091246E+00    1.3270542347254043E-02    9.5033177771091246E+00   -9.4952858773674986E-02
  9.6603974097886134E+00    1.2854756339114726E-02    9.6603974097886134E+00   -9.3488256606126280E-02
  9.8174770424681039E+00    1.2458032452538006E-02    9.8174770424681039E+00   -9.2066953996552098E-02
  9.9745566751475927E+00    1.2079233397005859E-02    9.9745566751475927E+00   -9.0687113945337197E-02
  1.0131636307827083E+01    1.1717304700970949E-02    1.0131636307827083E+01   -8.9346998490298174E-02
  1.0288715940506572E+01    1.1371267642751429E-02    1.0288715940506572E+01   -8.8044962390460363E-02
  1.0445795573186063E+01    1.1040212869200174E-02    1.0445795573186063E+01   -8.6779447261322376E-02
